Lead1,Lead2,Lead3
-0.183629,-0.232818,-0.0457128
-0.1723,-0.222962,-0.0476462
-0.161984,-0.214499,-0.0497261
-0.152552,-0.207436,-0.052175
-0.143696,-0.20156,-0.0552682
-0.135545,-0.196894,-0.0589081
-0.128159,-0.193371,-0.0628759
-0.121389,-0.190825,-0.0670566
-0.115464,-0.189136,-0.0713728
-0.110397,-0.18814,-0.0756745
-0.105973,-0.187731,-0.079944
-0.102173,-0.187818,-0.0841281
-0.0987097,-0.188074,-0.0880846
-0.0953205,-0.188367,-0.0918916
-0.0920513,-0.188867,-0.0956259
-0.0889319,-0.189547,-0.0994775
-0.0857031,-0.18997,-0.103229
-0.0822548,-0.18979,-0.106524
-0.0789316,-0.189482,-0.109596
-0.0758433,-0.189301,-0.112575
-0.0726454,-0.188807,-0.115439
-0.069094,-0.187779,-0.118128
-0.0655618,-0.186663,-0.12053
-0.0624929,-0.185776,-0.12269
-0.0599099,-0.185111,-0.124616
-0.0577332,-0.184693,-0.126403
-0.0559613,-0.184515,-0.128122
-0.0546522,-0.184706,-0.129732
-0.0538532,-0.18536,-0.13125
-0.0535683,-0.186665,-0.132789
-0.0539074,-0.18874,-0.134429
-0.0550001,-0.191636,-0.136502
-0.057121,-0.195656,-0.138646
-0.0605204,-0.201045,-0.140682
-0.065118,-0.207874,-0.14293
-0.0708305,-0.216093,-0.145375
-0.0774111,-0.225595,-0.148304
-0.0844797,-0.236336,-0.152037
-0.0920326,-0.248511,-0.156781
-0.100239,-0.262085,-0.16228
-0.108925,-0.276512,-0.168093
-0.11797,-0.291675,-0.174187
-0.127263,-0.307259,-0.180498
-0.136651,-0.32294,-0.186819
-0.146252,-0.338825,-0.193063
-0.156062,-0.354486,-0.198826
-0.16589,-0.369536,-0.20399
-0.175457,-0.38398,-0.208828
-0.184219,-0.397772,-0.213826
-0.191573,-0.410135,-0.218748
-0.196999,-0.420065,-0.223393
-0.199804,-0.426498,-0.226093
-0.19914,-0.428149,-0.226909
-0.194444,-0.424103,-0.227467
-0.185168,-0.413125,-0.226021
-0.170846,-0.394248,-0.221592
-0.151437,-0.366536,-0.213467
-0.12703,-0.329321,-0.200728
-0.0979658,-0.283408,-0.184046
-0.0644417,-0.22957,-0.163734
-0.025559,-0.165874,-0.139184
0.0185386,-0.0920561,-0.109079
0.0666141,-0.0104511,-0.0738064
0.118181,0.0787156,-0.0357511
0.172973,0.175533,0.00586226
0.230889,0.279355,0.0516647
0.291661,0.389486,0.100793
0.354142,0.503692,0.152209
0.416614,0.619182,0.204877
0.477316,0.733864,0.258638
0.534947,0.845411,0.312279
0.589397,0.952865,0.365298
0.640286,1.05576,0.417952
0.686992,1.15336,0.469063
0.729739,1.246,0.518627
0.768901,1.33424,0.567448
0.804547,1.41784,0.61511
0.836772,1.49645,0.661187
0.86583,1.57021,0.70561
0.891456,1.63908,0.748671
0.91289,1.70245,0.790397
0.929756,1.75931,0.830265
0.941887,1.80836,0.865941
0.949756,1.84997,0.898434
0.954233,1.88433,0.928292
0.955066,1.90947,0.952565
0.951823,1.92493,0.971282
0.944457,1.93139,0.985192
0.932855,1.92852,0.993931
0.916875,1.91534,0.996813
0.896556,1.89131,0.993134
0.872668,1.85721,0.983071
0.845284,1.81346,0.965807
0.813802,1.75987,0.942245
0.778449,1.69734,0.914984
0.740084,1.62781,0.884028
0.699446,1.55264,0.849581
0.656817,1.4721,0.811876
0.612384,1.38631,0.770701
0.566233,1.2951,0.725759
0.518778,1.19977,0.677881
0.471156,1.10348,0.629255
0.424532,1.00885,0.581317
0.379309,0.917084,0.534745
0.335602,0.828712,0.490086
0.294005,0.744528,0.447588
0.254953,0.665005,0.407219
0.218362,0.589827,0.368776
0.18385,0.518394,0.332052
0.150853,0.450067,0.296845
0.119204,0.384385,0.262983
0.0888587,0.321287,0.230452
0.0595406,0.260475,0.199097
0.0312285,0.201745,0.168745
0.00400824,0.145241,0.139524
-0.0221474,0.0910623,0.11156
-0.0470716,0.0392751,0.0848124
-0.0707893,-0.0101098,0.0592796
-0.0934656,-0.057179,0.0349416
-0.115023,-0.102003,0.0117589
-0.135604,-0.144671,-0.0102526
-0.155317,-0.185328,-0.0311333
-0.174037,-0.223968,-0.0509487
-0.191708,-0.260509,-0.0697953
-0.208414,-0.294954,-0.0875804
-0.224345,-0.327686,-0.104324
-0.239719,-0.359043,-0.120166
-0.254489,-0.388833,-0.135168
-0.268494,-0.417137,-0.149552
-0.281785,-0.444235,-0.163287
-0.294442,-0.469981,-0.176147
-0.306689,-0.494368,-0.188114
-0.31867,-0.51768,-0.199358
-0.330434,-0.540178,-0.21015
-0.342047,-0.562001,-0.220467
-0.353492,-0.583113,-0.230014
-0.364766,-0.603453,-0.239034
-0.375872,-0.623153,-0.247677
-0.386588,-0.642119,-0.255868
-0.39667,-0.660057,-0.263716
-0.406373,-0.677245,-0.271164
-0.415713,-0.693643,-0.278128
-0.424242,-0.708797,-0.28471
-0.431817,-0.722813,-0.291239
-0.438452,-0.735852,-0.297792
-0.444131,-0.747842,-0.304024
-0.449036,-0.758861,-0.310037
-0.453249,-0.769047,-0.316049
-0.456545,-0.778366,-0.321988
-0.458836,-0.786731,-0.327965
-0.460237,-0.794165,-0.334006
-0.460869,-0.800804,-0.340023
-0.460889,-0.806751,-0.345797
-0.460234,-0.811703,-0.351268
-0.458784,-0.815467,-0.356628
-0.456622,-0.818348,-0.361714
-0.454,-0.820634,-0.366565
-0.450835,-0.822192,-0.371299
-0.446822,-0.822652,-0.375742
-0.442109,-0.822158,-0.379883
-0.437086,-0.821106,-0.38377
-0.432257,-0.819944,-0.38742
-0.427736,-0.818793,-0.390832
-0.423356,-0.81754,-0.394012
-0.419142,-0.816307,-0.39704
-0.41516,-0.81503,-0.399797
-0.411423,-0.813697,-0.402248
-0.407966,-0.812416,-0.404407
-0.404998,-0.811011,-0.405981
-0.402358,-0.809347,-0.406953
-0.39981,-0.807564,-0.407618
-0.39707,-0.80536,-0.408148
-0.39392,-0.802476,-0.408397
-0.390708,-0.799199,-0.408235
-0.387802,-0.795811,-0.407691
-0.385301,-0.792515,-0.40676
-0.383277,-0.789419,-0.40558
-0.381824,-0.786644,-0.404207
-0.380917,-0.784174,-0.402604
-0.380725,-0.781965,-0.400524
-0.381298,-0.779924,-0.397869
-0.382137,-0.777626,-0.394757
-0.382796,-0.774713,-0.391178
-0.383405,-0.771304,-0.387166
-0.384329,-0.767945,-0.38292
-0.385726,-0.764998,-0.37863
-0.387636,-0.762456,-0.374209
-0.390211,-0.760421,-0.369613
-0.393269,-0.758727,-0.364912
-0.396564,-0.757154,-0.360074
-0.400192,-0.755877,-0.355255
-0.404227,-0.755089,-0.350576
-0.408697,-0.754871,-0.34595
-0.413414,-0.75505,-0.341471
-0.418186,-0.755481,-0.337215
-0.423071,-0.756199,-0.333206
-0.428243,-0.757387,-0.329316
-0.4335,-0.758915,-0.325537
-0.438428,-0.760358,-0.322015
