Lead1,Lead2,Lead3
-9.26221,-15.5265,-6.24023
-9.51595,-15.9582,-6.46217
-9.61368,-16.0576,-6.47296
-9.83139,-16.2658,-6.39368
-10.0454,-16.0366,-5.9016
-10.0641,-15.4111,-5.28751
-9.79642,-14.7906,-4.9543
-8.97237,-14.1235,-5.11783
-7.53024,-12.66,-5.04048
-5.5564,-10.1684,-4.7562
-2.87267,-6.58734,-2.76477
0.68074,-1.69034,-0.836121
4.80846,4.14301,-0.570633
9.49879,11.2418,1.48038
14.6649,19.3302,4.53506
19.8757,28.377,8.32007
24.9924,38.1078,13.0448
29.7616,47.0149,17.0819
34.3287,55.1302,20.8003
39.8158,65.2252,25.1394
45.1559,75.5891,30.8274
49.2293,83.5636,36.1187
52.805,91.3067,38.9686
56.107,99.1412,42.6121
59.3052,106.314,46.9017
62.2311,112.774,50.3074
63.9806,116.947,52.6501
63.9716,118.262,53.9322
62.1587,117.434,55.0511
59.0139,114.224,54.9278
55.7567,110.033,54.2916
52.11,105.361,53.9178
47.8273,99.9448,52.338
43.7729,94.8634,50.7536
40.1018,90.3608,49.9927
36.5012,85.6024,48.8057
32.9984,80.498,47.1831
29.7558,75.5322,45.4894
26.2413,70.5177,44.0937
21.9485,64.894,42.728
17.2708,58.2236,40.8248
12.4213,50.2299,36.5314
8.05878,42.6038,33.2728
4.58398,35.1919,30.5752
0.8526,25.7437,24.8555
-3.32086,15.8245,19.1663
-7.54266,6.61963,14.2437
-11.8804,-2.93762,8.94904
-16.3633,-13.4952,2.9505
-20.8066,-24.6123,-3.76697
-24.4614,-34.9194,-10.3047
-28.0411,-44.8008,-17.6782
-32.2375,-54.8766,-24.1271
-36.2015,-64.0299,-27.9153
-39.2854,-71.197,-31.6987
-41.6135,-76.976,-35.2743
-43.6525,-82.4698,-38.6101
-45.4993,-87.8445,-42.1631
-47.2592,-93.4041,-46.0205
-48.5931,-97.6165,-49.0264
-48.7654,-98.6063,-49.7933
-47.7424,-96.8975,-49.0892
-46.3084,-93.968,-47.6895
-44.7564,-90.4926,-45.7307
-42.5957,-86.2048,-43.518
-39.9883,-81.4314,-41.3375
-37.4701,-76.9827,-39.3663
-35.3399,-73.1472,-37.6054
-33.7892,-69.9667,-36.0511
-32.4086,-67.2581,-34.6749
-31.0733,-64.6121,-33.3119
-30.0217,-62.2715,-32.1076
-28.9916,-60.1398,-31.0802
-27.8735,-57.8597,-29.9229
-26.7834,-55.4795,-28.6349
-25.5224,-53.0301,-27.3896
-24.2869,-50.5701,-26.1455
-23.2205,-48.1989,-24.9222
-22.0748,-45.8994,-23.7391
-21.0749,-43.692,-22.5397
-20.1858,-41.6328,-21.3819
-19.1693,-39.5676,-20.291
-18.0957,-37.4178,-19.2989
-17.1064,-35.2722,-18.2119
-16.3141,-33.5172,-17.1453
-15.7421,-32.1093,-16.2228
-15.1245,-30.5048,-15.3618
-14.3417,-28.9835,-14.7292
-13.6097,-27.7487,-14.0648
-12.9607,-26.3637,-13.168
-12.5409,-24.9721,-12.2541
-12.2686,-23.8714,-11.5141
-12.0463,-23.0382,-11.0513
-11.8922,-22.3466,-10.5645
-11.7198,-21.6189,-9.77623
-11.5443,-20.8287,-9.23656
-11.373,-20.1724,-8.8506
-10.9729,-19.4215,-8.38719
-10.3242,-18.3681,-8.03638
-9.93515,-17.6004,-7.62634
-9.56473,-16.7919,-7.13196
-8.73318,-15.5173,-6.73959
-7.7565,-14.3526,-6.68549
-6.79504,-13.3521,-6.71042
-5.81476,-12.2778,-6.38132
-5.02313,-11.2829,-6.15771
-4.31403,-10.4307,-6.15594
-3.37543,-9.54327,-6.08191
-2.34515,-8.56494,-6.12079
-1.43533,-7.6131,-6.18506
-0.646576,-6.79791,-6.16196
-0.0204468,-6.09009,-5.91208
0.670898,-5.07037,-5.60226
1.48459,-3.85449,-5.48944
2.21378,-2.95062,-5.2074
2.68488,-2.34094,-4.9682
3.24106,-1.59503,-4.84747
4.10941,-0.470642,-4.54907
4.82541,0.505981,-4.24097
5.1441,1.07654,-3.97974
4.94516,1.19049,-3.73795
4.62939,1.17804,-3.49371
4.48447,1.28326,-3.25592
4.3157,1.26257,-3.10092
4.07687,1.30817,-2.8237
3.827,1.36432,-2.50974
3.53976,1.31201,-2.21021
3.03979,1.43878,-1.61176
2.70306,1.70398,-0.995758
2.60919,1.82593,-0.680969
2.80533,2.25623,-0.542694
3.22598,2.95392,-0.254883
3.28943,3.35516,0.166199
2.97583,3.47003,0.556366
2.56116,3.37476,0.953247
2.07248,3.17035,1.20862
1.48749,2.84155,1.40564
0.928772,2.52917,1.64209
0.19693,2.26215,2.12958
-0.587219,2.08966,2.71899
-0.858582,2.35352,3.18677
-0.674744,2.98322,3.66467
-0.624268,3.49066,4.10849
-0.945587,3.43927,4.34729
-1.43143,3.01764,4.3931
-1.95514,2.60284,4.52707
-2.63715,2.08423,4.70633
-3.13162,1.7345,4.81387
-3.37399,1.6106,4.95395
-3.71432,1.3075,4.93536
-4.13281,0.806763,4.79132
-4.57639,0.22406,4.73657
-4.83084,-0.183716,4.58658
-4.88666,-0.441345,4.35825
-5.00201,-0.734802,4.10516
-5.29645,-1.21674,3.9834
-5.38242,-1.56506,3.86993
-5.04645,-1.47717,3.60587
-4.64261,-1.21545,3.46466
-4.3465,-1.01239,3.39191
-3.88519,-0.753601,3.21393
-3.22116,-0.354248,2.95941
-2.56567,0.110168,2.73203
-1.74106,0.63562,2.38577
-0.922607,1.13635,1.8725
-0.110779,1.81274,1.77844
0.700653,2.47626,1.73105
1.34641,2.86096,1.49121
1.91107,3.17511,1.28625
2.39883,3.45203,1.04755
2.97794,3.75287,0.759338
3.47122,4.0611,0.490173
3.99277,4.31665,0.294952
4.58124,4.63336,0.154144
5.06772,5.02185,-0.216187
5.70422,5.56616,-0.370941
6.3988,6.16772,-0.185059
7.02411,6.69678,-0.252014
7.66571,7.31958,-0.330017
8.24661,7.78619,-0.41687
8.7424,7.96466,-0.673248
9.27377,8.1308,-1.03452
9.81073,8.38123,-1.34668
10.1745,8.41492,-1.65259
10.4091,8.3114,-2.2081
10.7136,8.37445,-2.62363
10.9603,8.27637,-2.7305
11.255,7.87915,-3.28677
11.5878,7.65198,-3.84363
11.6137,7.59937,-3.9819
11.3921,7.27521,-4.14911
