Lead1,Lead2,Lead3
30.8735,103.397,22.6214
8.25221,43.3931,7.64396
0.463407,2.85724,0.699098
23.1213,17.1645,0.325622
90.2271,126.377,2.19152
215.06,373.658,20.5668
395.044,805.257,69.2235
624.622,1452.2,170.166
885.754,2210.4,291.791
1178.46,3039.34,432.652
1585.3,4254.33,631.987
2039.06,5713.71,950.331
2423.53,6982.87,1304.56
2788.37,8336.92,1518.55
3147.99,9828.97,1815.79
3517.1,11302.6,2199.77
3872.71,12718,2530.84
4093.51,13676.5,2772.04
4092.37,13985.8,2908.68
3863.7,13790.8,3030.62
3482.65,13047.2,3017.06
3108.81,12107.4,2947.58
2715.45,11100.9,2907.13
2287.45,9988.97,2739.26
1916.07,8999.07,2575.93
1608.15,8165.08,2499.27
1332.33,7327.77,2381.99
1088.9,6479.94,2226.25
885.408,5705.12,2069.29
688.608,4972.75,1944.25
481.739,4211.24,1825.68
298.281,3389.99,1666.67
154.288,2523.04,1334.55
64.9439,1815.08,1107.08
21.0129,1238.47,934.843
0.726927,662.736,617.794
11.0281,250.414,367.346
56.8918,43.8195,202.882
141.145,8.62962,80.0852
267.759,182.121,8.70545
432.914,605.766,14.19
598.358,1219.37,106.187
786.302,2007.11,312.517
1039.26,3011.44,582.119
1310.55,4099.83,779.263
1543.34,5069.02,1004.81
1731.68,5925.3,1244.28
1905.54,6801.28,1490.74
2070.18,7716.65,1777.73
2233.43,8724.32,2117.89
2361.29,9528.97,2403.59
2378.07,9723.21,2479.37
2279.34,9389.12,2409.75
2144.47,8829.98,2274.29
2003.14,8188.9,2091.29
1814.4,7431.27,1893.81
1599.06,6631.07,1708.79
1404.01,5926.33,1549.71
1248.91,5350.51,1414.16
1141.71,4895.34,1299.69
1050.31,4523.66,1202.35
965.551,4174.72,1109.68
901.303,3877.74,1030.9
840.513,3616.79,965.979
776.932,3347.74,895.377
717.349,3077.97,819.956
651.393,2812.19,750.188
589.854,2557.33,683.589
539.191,2323.14,621.114
487.298,2106.76,563.546
444.152,1908.99,508.038
407.466,1733.29,457.186
367.461,1565.6,411.723
327.454,1400.09,372.449
292.629,1244.12,331.673
266.151,1123.4,293.96
247.812,1031.01,263.178
228.749,930.544,235.984
205.684,840.041,216.95
185.225,769.99,197.818
167.979,695.047,173.397
157.273,623.608,150.163
150.518,569.845,132.576
145.114,530.759,122.132
141.423,499.371,111.609
137.354,467.377,95.5747
133.271,433.834,85.314
129.344,406.927,78.3331
120.405,377.195,70.345
106.59,337.387,64.5834
98.7072,309.774,58.1611
91.484,281.969,50.8648
76.2685,240.786,45.4221
60.1633,205.997,44.6957
46.1726,178.277,45.0297
33.8114,150.744,40.7212
25.2319,127.304,37.9175
18.6108,108.799,37.8957
11.3935,91.0741,36.9896
5.49975,73.3582,37.4641
2.06018,57.9593,38.255
0.41806,46.2116,37.9697
0.000418071,37.0892,34.9527
0.450105,25.7087,31.3854
2.204,14.8571,30.134
