Lead1,Lead2,Lead3
40.3323,100.496,16.2548
40.0117,100.577,16.0078
40.3209,101.079,15.781
42.7317,104.988,15.6605
49.1437,116.639,16.1503
61.2702,141.789,18.192
80.6344,187.164,23.4051
108.211,256.238,32.4267
144.982,351.216,45.8622
194.502,484.15,65.5363
258.22,662.648,95.1565
333.951,880.721,135.836
421.048,1140.97,183.15
519.276,1447.6,239.743
628.806,1799.85,308.349
749.136,2195.76,387.273
875.989,2620.94,473.703
1002.46,3055.04,564.318
1121.56,3482.22,658.568
1228.52,3885.09,752.114
1323.47,4257.41,843.235
1405.85,4597.49,932.975
1474.65,4902.11,1017.36
1531.7,5175.37,1096.55
1579.07,5422.48,1173.35
1617.68,5643.2,1246.51
1648.56,5837.66,1314.99
1673.06,6008.53,1378.78
1691.58,6157.09,1438.77
1704.12,6282.46,1495
1711.67,6383.38,1546.29
1715.53,6459,1587.29
1717.3,6514.36,1621.65
1717.94,6552.98,1650.84
1717.24,6573.15,1670.14
1714.77,6577.02,1681.55
1709.82,6566.72,1687.25
1701.89,6541.82,1687.58
1690.74,6502.13,1682.54
1676.58,6451.99,1673.86
1658.46,6395.11,1663.66
1633.49,6324.89,1653.68
1602.24,6240.44,1642.17
1567.46,6150.35,1625.76
1528.56,6048.22,1609.7
1484.3,5926.23,1591.84
1433.94,5785.57,1569.68
1377.61,5629.28,1546.15
1319.48,5474.52,1525.71
1265.38,5335.24,1509.92
1218.96,5208.13,1492.7
1181.35,5093.82,1473.72
1151.22,4991.4,1452.68
1128.96,4900.4,1427.18
1114.18,4820.47,1400.76
1104.27,4746.47,1373.66
1097.89,4676.51,1343.99
1095.28,4614.72,1313.75
1096.93,4565.2,1284.79
1102.09,4528.28,1257.7
1110.74,4503.34,1231.62
1123.85,4492.92,1206.78
1140.8,4500.01,1184.89
1160.25,4525.78,1171.16
1180.64,4565.25,1162.19
1200.34,4614.43,1156.42
1218.75,4673.63,1158.47
1235.26,4738.4,1166.4
1248.71,4802.87,1177.68
1258.18,4862.26,1191.05
1262.54,4910.73,1205.06
1260.5,4940.73,1217.49
1252.03,4946.37,1225.81
1236.6,4922.53,1226.41
1212.44,4863.53,1217.4
1179.23,4767.63,1201.27
1138.15,4638.3,1177.25
1090.46,4479.39,1145.14
1036.7,4290.91,1104.74
977.261,4071.48,1054.6
912.381,3818.34,993.113
843.295,3538.36,922.144
773.515,3251.1,848.481
706.705,2973.3,776.664
643.983,2711.97,708.579
585.549,2469.62,645.892
532.891,2250.11,589.158
486.683,2054.68,537.957
446.139,1880.02,491.547
410.195,1722.5,449.172
377.376,1578.33,410.146
346.937,1444.49,373.992
318.643,1320.47,340.711
291.92,1204.86,309.903
266.711,1096.54,280.989
243.22,995.906,254.193
221.385,903.119,229.754
201.385,818.084,207.466
183.124,740.46,187.275
166.338,669.673,169.061
151.123,605.281,152.636
137.244,546.784,137.852
124.524,493.422,124.546
113.11,444.962,112.621
103.03,401.481,101.83
94.1109,362.773,92.2364
86.1219,327.746,83.7845
78.9055,295.534,76.2069
72.4848,266.463,69.3944
66.8841,240.248,63.1097
61.86,216.23,57.3645
57.2804,194.553,52.3273
52.9941,175.117,47.966
48.8724,157.359,44.1235
44.857,140.826,40.556
40.8952,125.279,37.2651
36.9944,110.727,34.431
33.1185,97.2348,31.8462
29.3048,84.6091,29.4292
25.7549,72.9259,27.2455
22.6699,62.5416,25.2364
19.9105,53.1339,23.4209
17.3898,44.6741,21.8323
15.2831,37.5258,20.4225
13.608,31.4443,19.0541
12.2993,26.1873,17.6926
11.3119,21.7289,16.4818
10.5503,17.9505,15.3812
9.96995,14.7105,14.3386
9.62467,12.0009,13.4138
9.47584,9.88151,12.5604
9.42569,8.34839,11.7846
9.4248,7.28505,11.1255
9.45273,6.49566,10.6238
9.5027,5.97683,10.2461
9.55328,5.72426,9.9449
9.61746,5.58794,9.78967
